Time (seconds), Real Power Demand - PD (MW), Reactive Power Demand (MVAr), Substation V real (V), Substation V imag (V), LMP ($/MWh), LMP ($/MVAr)
1,100.111,34.9914, 375790, -7886.02, 24.2619, 0.0355322
3,100.119,34.9912, 375790, -7888.5, 24.2625, 0.0355338
901,100.121,34.9913, 375789, -7888.95, 24.2626, 0.0355343
2101,100.123,34.9913, 375789, -7889.68, 24.2627, 0.0355349
2258,100.125,34.9922, 375789, -7890.38, 24.2629, 0.0355375
2401,100.121,34.9922, 375789, -7888.93, 24.2626, 0.0355363
2402,100.118,34.9913, 375790, -7888.24, 24.2624, 0.0355338
2701,100.124,34.9913, 375789, -7889.9, 24.2628, 0.0355352
3000,100.126,34.9922, 375789, -7890.55, 24.2629, 0.0355377
3001,100.121,34.9923, 375789, -7888.92, 24.2626, 0.0355364
3168,100.118,34.9913, 375790, -7888.15, 24.2624, 0.0355338
3301,100.123,34.9913, 375789, -7889.6, 24.2627, 0.0355349
3735,100.124,34.9923, 375789, -7889.98, 24.2628, 0.0355373
3902,100.121,34.9914, 375789, -7889, 24.2626, 0.0355346
4443,100.123,34.9923, 375789, -7889.77, 24.2628, 0.0355372
4616,100.122,34.9914, 375789, -7889.32, 24.2627, 0.0355349
4801,100.119,34.9914, 375789, -7888.58, 24.2625, 0.0355343
5130,100.123,34.9923, 375789, -7889.56, 24.2627, 0.0355371
5306,100.12,34.9914, 375789, -7888.84, 24.2626, 0.0355346
5401,100.121,34.9914, 375789, -7889.19, 24.2626, 0.0355348
5546,100.124,34.9924, 375789, -7889.92, 24.2628, 0.0355375
5702,100.121,34.9914, 375789, -7889.07, 24.2626, 0.0355348
5711,100.124,34.9926, 375789, -7889.97, 24.2628, 0.035538
5793,100.126,34.9936, 375789, -7890.65, 24.263, 0.0355406
5871,100.123,34.9924, 375789, -7889.75, 24.2628, 0.0355373
5972,100.121,34.9914, 375789, -7889.04, 24.2626, 0.0355347
6001,100.118,34.9914, 375789, -7888.18, 24.2624, 0.035534
6104,100.122,34.993, 375789, -7889.38, 24.2627, 0.0355384
6230,100.124,34.994, 375789, -7890.11, 24.2629, 0.0355411
6295,100.12,34.9924, 375789, -7888.9, 24.2626, 0.0355367
6301,100.123,34.9924, 375789, -7889.61, 24.2627, 0.0355372
6361,100.12,34.9914, 375789, -7888.87, 24.2626, 0.0355346
6434,100.123,34.9923, 375789, -7889.58, 24.2627, 0.0355371
6515,100.126,34.9937, 375789, -7890.58, 24.263, 0.0355409
6541,100.129,34.995, 375789, -7891.48, 24.2632, 0.0355442
6601,100.132,34.995, 375789, -7892.63, 24.2634, 0.0355452
6602,100.13,34.994, 375789, -7891.93, 24.2633, 0.0355427
6661,100.124,34.9915, 375789, -7889.98, 24.2628, 0.0355355
6668,100.126,34.9924, 375789, -7890.72, 24.263, 0.0355381
6743,100.129,34.9934, 375789, -7891.45, 24.2632, 0.0355408
6793,100.126,34.9924, 375789, -7890.7, 24.263, 0.0355381
6901,100.124,34.9924, 375789, -7890.17, 24.2629, 0.0355377
6902,100.122,34.9914, 375789, -7889.43, 24.2627, 0.035535
6940,100.126,34.993, 375789, -7890.63, 24.263, 0.0355394
7024,100.128,34.994, 375789, -7891.34, 24.2631, 0.035542
7101,100.136,34.997, 375788, -7893.63, 24.2637, 0.0355504
7129,100.139,34.9983, 375788, -7894.53, 24.2639, 0.0355538
7146,100.135,34.9967, 375788, -7893.3, 24.2636, 0.0355494
7156,100.138,34.9979, 375788, -7894.26, 24.2638, 0.0355528
7201,100.14,34.9979, 375788, -7894.94, 24.264, 0.0355534
7202,100.138,34.997, 375788, -7894.24, 24.2638, 0.0355508
7260,100.13,34.9937, 375789, -7891.78, 24.2632, 0.0355418
7289,100.127,34.9924, 375789, -7890.82, 24.263, 0.0355382
7296,100.129,34.9934, 375789, -7891.57, 24.2632, 0.0355409
7306,100.132,34.9948, 375789, -7892.61, 24.2634, 0.0355448
7429,100.13,34.9938, 375789, -7891.86, 24.2632, 0.0355421
7484,100.127,34.9928, 375789, -7891.09, 24.2631, 0.0355393
7489,100.124,34.9914, 375789, -7890.05, 24.2628, 0.0355355
7605,100.127,34.9923, 375789, -7891.06, 24.2631, 0.0355383
7662,100.131,34.994, 375789, -7892.26, 24.2633, 0.0355427
7672,100.134,34.9952, 375789, -7893.17, 24.2636, 0.0355461
7797,100.132,34.9943, 375789, -7892.46, 24.2634, 0.0355436
7801,100.129,34.9943, 375789, -7891.62, 24.2632, 0.0355429
7802,100.122,34.9914, 375789, -7889.49, 24.2627, 0.0355351
7836,100.125,34.9924, 375789, -7890.25, 24.2629, 0.0355377
7857,100.127,34.9934, 375789, -7890.99, 24.263, 0.0355404
7863,100.13,34.9946, 375789, -7891.94, 24.2633, 0.0355439
7976,100.128,34.9937, 375789, -7891.17, 24.2631, 0.0355412
8005,100.125,34.9924, 375789, -7890.22, 24.2629, 0.0355377
8046,100.132,34.9954, 375789, -7892.5, 24.2634, 0.035546
8047,100.135,34.9968, 375788, -7893.54, 24.2636, 0.0355499
8090,100.133,34.9959, 375788, -7892.8, 24.2635, 0.0355473
8096,100.137,34.9976, 375788, -7894.13, 24.2638, 0.0355521
8101,100.141,34.9977, 375788, -7895.47, 24.2641, 0.0355533
8165,100.144,34.9989, 375788, -7896.39, 24.2643, 0.0355566
8166,100.14,34.9972, 375788, -7895.13, 24.264, 0.0355521
8167,100.137,34.9958, 375788, -7894.08, 24.2638, 0.0355482
8172,100.141,34.9974, 375788, -7895.31, 24.264, 0.0355526
8187,100.143,34.9984, 375788, -7896.01, 24.2642, 0.0355552
8216,100.139,34.9966, 375788, -7894.69, 24.2639, 0.0355504
8276,100.144,34.9987, 375788, -7896.25, 24.2643, 0.0355561
8299,100.141,34.9973, 375788, -7895.21, 24.264, 0.0355524
